date,CumConfirmed,CumDeaths,CumRecovered,NewConfirmed,NewDeaths,NewRecovered,CumActive,DiffYesterday,MortalityRateInfection,MortalityRateClosed
2020-02-14,1,0,0,1,0,0,1,,0.0,
2020-02-15,1,0,0,0,0,0,1,0.0,0.0,
2020-02-16,1,0,0,0,0,0,1,0.0,0.0,
2020-02-17,1,0,0,0,0,0,1,0.0,0.0,
2020-02-18,1,0,0,0,0,0,1,0.0,0.0,
2020-02-19,1,0,0,0,0,0,1,0.0,0.0,
2020-02-20,1,0,0,0,0,0,1,0.0,0.0,
2020-02-21,1,0,0,0,0,0,1,0.0,0.0,
2020-02-22,1,0,0,0,0,0,1,0.0,0.0,
2020-02-23,1,0,0,0,0,0,1,0.0,0.0,
2020-02-24,1,0,0,0,0,0,1,0.0,0.0,
2020-02-25,1,0,0,0,0,0,1,0.0,0.0,
2020-02-26,1,0,0,0,0,0,1,0.0,0.0,
2020-02-27,1,0,0,0,0,0,1,0.0,0.0,
2020-02-28,1,0,1,0,0,1,0,0.0,0.0,0.0
2020-02-29,1,0,1,0,0,0,0,0.0,0.0,0.0
2020-03-01,2,0,1,1,0,0,1,100.0,0.0,0.0
2020-03-02,2,0,1,0,0,0,1,0.0,0.0,0.0
2020-03-03,2,0,1,0,0,0,1,0.0,0.0,0.0
2020-03-04,2,0,1,0,0,0,1,0.0,0.0,0.0
2020-03-05,3,0,1,1,0,0,2,50.0,0.0,0.0
2020-03-06,15,0,1,12,0,0,14,400.0,0.0,0.0
2020-03-07,15,0,1,0,0,0,14,0.0,0.0,0.0
2020-03-08,49,1,1,34,1,0,47,226.7,2.0,50.0
2020-03-09,55,1,1,6,0,0,53,12.2,1.8,50.0
2020-03-10,59,1,1,4,0,0,57,7.3,1.7,50.0
2020-03-11,60,1,27,1,0,26,32,1.7,1.7,3.6
2020-03-12,67,1,27,7,0,0,39,11.7,1.5,3.6
2020-03-13,80,2,27,13,1,0,51,19.4,2.5,6.9
2020-03-14,109,2,27,29,0,0,80,36.2,1.8,6.9
2020-03-15,110,2,27,1,0,0,81,0.9,1.8,6.9
2020-03-16,150,2,27,40,0,0,121,36.4,1.3,6.9
2020-03-17,196,4,32,46,2,5,160,30.7,2.0,11.1
2020-03-18,196,6,32,0,2,0,158,0.0,3.1,15.8
2020-03-19,256,6,32,60,0,0,218,30.6,2.3,15.8
2020-03-20,285,8,39,29,2,7,238,11.3,2.8,17.0
2020-03-21,294,10,41,9,2,2,243,3.2,3.4,19.6
2020-03-22,327,14,56,33,4,15,257,11.2,4.3,20.0
2020-03-23,366,19,68,39,5,12,279,11.9,5.2,21.8
2020-03-24,402,20,80,36,1,12,302,9.8,5.0,20.0
2020-03-25,456,21,95,54,1,15,340,13.4,4.6,18.1
2020-03-26,495,24,102,39,3,7,369,8.6,4.8,19.0
2020-03-27,536,30,116,41,6,14,390,8.3,5.6,20.5
2020-03-28,576,36,121,40,6,5,419,7.5,6.2,22.9
2020-03-29,609,40,132,33,4,11,437,5.7,6.6,23.3
2020-03-30,656,41,150,47,1,18,465,7.7,6.2,21.5
2020-03-31,710,46,157,54,5,7,507,8.2,6.5,22.7
2020-04-01,779,52,179,69,6,22,548,9.7,6.7,22.5
2020-04-02,865,58,201,86,6,22,606,11.0,6.7,22.4
2020-04-03,985,66,216,120,8,15,703,13.9,6.7,23.4
2020-04-04,1070,71,241,85,5,25,758,8.6,6.6,22.8
2020-04-05,1173,78,247,103,7,6,848,9.6,6.6,24.0
2020-04-06,1322,85,259,149,7,12,978,12.7,6.4,24.7
2020-04-07,1450,94,276,128,9,17,1080,9.7,6.5,25.4
2020-04-08,1560,103,305,110,9,29,1152,7.6,6.6,25.2
2020-04-09,1699,118,348,139,15,43,1233,8.9,6.9,25.3
2020-04-10,1794,135,384,95,17,36,1275,5.6,7.5,26.0
2020-04-11,1939,146,426,145,11,42,1367,8.1,7.5,25.5
2020-04-12,2065,159,589,126,13,163,1317,6.5,7.7,21.3
2020-04-13,2190,164,589,125,5,0,1437,6.1,7.5,21.8
2020-04-14,2350,178,589,160,14,0,1583,7.3,7.6,23.2
2020-04-15,2505,183,589,155,5,0,1733,6.6,7.3,23.7
2020-04-16,2673,196,596,168,13,7,1881,6.7,7.3,24.7
2020-04-17,2844,205,646,171,9,50,1993,6.4,7.2,24.1
2020-04-18,3032,224,701,188,19,55,2107,6.6,7.4,24.2
2020-04-19,3144,239,732,112,15,31,2173,3.7,7.6,24.6
2020-04-20,3333,250,821,189,11,89,2262,6.0,7.5,23.3
2020-04-21,3490,264,870,157,14,49,2356,4.7,7.6,23.3
2020-04-22,3659,276,935,169,12,65,2448,4.8,7.5,22.8
2020-04-23,3891,287,1004,232,11,69,2600,6.3,7.4,22.2
2020-04-24,4092,294,1075,201,7,71,2723,5.2,7.2,21.5
2020-04-25,4319,307,1114,227,13,39,2898,5.5,7.1,21.6
2020-04-26,4534,317,1176,215,10,62,3041,5.0,7.0,21.2
